year,month,SPEI9
2010,2,-0.144987701
2010,3,0.633625203
2010,4,0.205925853
2010,5,-0.530262318
2010,6,0.654407517
2010,7,0.444192284
2010,8,-0.189333876
2010,9,-0.099045598
2010,10,0.374722554
2010,11,0.315866245
2010,12,0.369517196
2011,1,0.539462647
2011,2,0.407152562
2011,3,-0.245495455
2011,4,-0.568389554
2011,5,0.895187425
2011,6,0.946507806
2011,7,0.133804417
2011,8,1.513136087
2011,9,1.845110939
2011,10,1.360162436
2011,11,1.274995308
2011,12,1.21499427
2012,1,1.340025834
2012,2,0.884086841
2012,3,0.808782848
2012,4,1.410342198
2012,5,0.390348777
2012,6,-0.439288483
2012,7,-0.230046591
2012,8,-0.384171777
2012,9,-0.374929719
2012,10,-0.339698112
2012,11,-0.357579191
2012,12,-0.30809476
2013,1,-0.631071698
2013,2,-0.718166163
2013,3,-0.822020151
2013,4,-1.186604799
2013,5,0.796660856
2013,6,0.848570786
2013,7,0.228548723
2013,8,0.457951407
2013,9,0.434091721
2013,10,0.485752983
2013,11,0.416751307
2013,12,0.492131493
2014,1,0.643322929
2014,2,-0.445592413
2014,3,-0.58023446
2014,4,-0.520875548
2014,5,-1.313961212
2014,6,-0.222538628
2014,7,-0.517412348
2014,8,-0.420763258
2014,9,-0.305460488
2014,10,-0.225784465
2014,11,-0.337234833
2014,12,-0.290726514
2015,1,-0.042107311
2015,2,0.316043078
2015,3,-0.378120238
2015,4,0.052604203
2015,5,-0.644870641
2015,6,0.396688675
2015,7,1.639330168
2015,8,1.58417093
2015,9,1.755490668
2015,10,2.118804037
2015,11,2.102721645
2015,12,2.129212692
2016,1,1.853662761
2016,2,2.083412292
2016,3,1.814288219
2016,4,0.855073629
2016,5,1.402648452
2016,6,0.339780006
2016,7,-0.028512142
2016,8,-0.02855742
2016,9,-0.19975793
2016,10,0.477340999
2016,11,0.813449066
2016,12,0.769588786
2017,1,0.894537925
2017,2,0.875877755
2017,3,1.488174713
2017,4,1.827582748
2017,5,1.753677573
2017,6,1.610151269
2017,7,1.795368292
2017,8,1.742818805
2017,9,1.966162808
2017,10,2.005584048
2017,11,1.914101302
2017,12,1.78926031
2018,1,1.260528119
2018,2,1.444419982
2018,3,1.586456846
2018,4,0.800185476
2018,5,0.899944226
2018,6,0.28532518
2018,7,-0.296352647
2018,8,-0.879436187
2018,9,-1.13381161
2018,10,-0.948776483
2018,11,-0.994114441
2018,12,-0.927608873
2019,1,-0.975059922
2019,2,-1.150622016
2019,3,-1.365187219
2019,4,-1.819100493
2019,5,-1.58013138
2019,6,-1.506574347
2019,7,-0.918165294
2019,8,-0.957008652
2019,9,-1.03626052
